,online_order,book_table,votes,location,rest_type,cuisines,menu_item,Cluster,Labels
3,0,0,88,0,2,3,0,0,300.0
4,0,0,166,1,0,4,0,0,600.0
5,1,0,286,1,0,5,0,0,600.0
6,0,0,8,2,0,6,0,0,800.0
8,1,0,324,0,4,8,0,0,700.0
10,1,0,402,0,4,10,0,0,500.0
11,1,1,150,0,4,8,0,0,600.0
12,1,1,164,0,4,11,0,0,500.0
13,0,0,424,0,4,12,0,0,450.0
15,1,0,90,0,4,10,0,0,650.0
16,1,0,133,0,4,13,0,0,800.0
17,1,0,144,0,4,14,0,0,700.0
18,0,0,93,0,4,15,0,0,300.0
19,1,0,13,0,4,11,0,0,400.0
20,1,0,62,0,4,16,0,0,400.0
21,1,0,180,0,4,17,0,0,500.0
22,0,0,28,0,4,18,0,0,900.0
23,1,0,62,0,5,19,0,0,600.0
24,0,0,31,0,4,10,0,0,300.0
25,0,0,11,0,4,20,0,0,600.0
26,1,0,75,0,6,21,0,0,200.0
27,0,0,4,0,4,22,0,0,500.0
28,0,0,23,0,4,18,0,0,550.0
29,0,0,148,1,3,23,0,0,550.0
30,1,0,219,1,4,24,0,0,600.0
32,1,0,35,0,7,26,1,0,500.0
33,1,0,172,0,7,27,0,0,750.0
34,1,0,415,0,2,28,2,0,500.0
35,1,0,230,0,7,29,0,0,650.0
36,1,0,91,0,2,30,0,0,400.0
39,1,0,17,0,2,33,3,0,150.0
40,1,0,133,1,2,34,0,0,200.0
41,0,0,28,0,8,33,0,0,300.0
42,1,0,286,0,2,35,0,0,500.0
45,0,0,36,0,7,37,0,0,400.0
46,1,0,244,4,2,38,4,0,300.0
49,1,0,245,4,2,41,6,0,300.0
50,0,0,21,0,2,5,0,0,450.0
51,1,0,28,6,2,42,7,0,150.0
52,0,0,345,0,9,43,0,0,400.0
56,1,0,104,0,2,47,0,0,300.0
57,1,1,354,0,0,48,0,0,800.0
58,0,0,55,0,2,49,0,0,200.0
59,1,0,17,0,9,50,0,0,400.0
60,0,0,244,0,0,51,0,0,800.0
61,1,1,163,4,0,52,0,0,800.0
62,1,0,58,1,2,53,0,0,150.0
64,0,0,78,0,10,54,0,0,150.0
66,1,0,34,3,2,33,9,0,100.0
68,0,0,39,0,12,26,0,0,300.0
69,1,0,71,1,2,57,0,0,600.0
70,1,0,6,0,13,58,0,0,500.0
72,0,0,0,0,2,5,0,0,150.0
73,0,0,84,0,7,60,0,0,700.0
74,0,0,299,0,2,61,0,0,300.0
75,0,0,0,0,13,34,0,0,500.0
77,1,0,28,0,2,62,0,0,300.0
78,0,0,22,0,2,63,0,0,500.0
79,0,0,39,0,2,64,0,0,350.0
80,1,0,153,6,14,65,0,0,500.0
81,1,0,146,0,15,66,0,0,400.0
82,0,0,14,0,16,67,0,0,200.0
83,0,0,42,0,0,38,0,0,700.0
84,0,0,0,0,2,68,0,0,100.0
85,0,0,66,0,12,26,0,0,300.0
87,0,0,31,0,2,5,0,0,200.0
88,0,0,7,0,9,70,0,0,500.0
89,0,0,21,0,2,29,0,0,250.0
90,0,0,0,0,7,26,0,0,500.0
91,0,0,0,0,13,33,0,0,400.0
92,0,0,0,0,8,33,0,0,200.0
93,0,0,9,0,9,71,0,0,300.0
94,0,0,283,0,0,5,0,0,600.0
95,0,0,62,0,17,72,0,0,800.0
96,0,0,64,0,2,73,0,0,250.0
97,0,0,39,0,0,74,0,0,950.0
98,0,0,65,0,2,75,0,0,300.0
99,1,0,71,1,9,76,0,0,400.0
100,0,0,52,0,2,33,0,0,300.0
101,0,0,130,0,2,33,0,0,200.0
102,0,0,10,0,2,77,0,0,300.0
103,0,0,45,0,13,54,0,0,400.0
105,0,0,13,0,12,26,0,0,300.0
106,0,0,8,0,2,78,0,0,300.0
107,0,0,0,0,13,79,0,0,250.0
108,0,0,9,0,2,29,0,0,300.0
109,0,0,4,0,2,5,0,0,300.0
110,0,0,0,0,13,80,0,0,200.0
111,0,0,29,0,2,5,0,0,150.0
112,0,0,8,0,12,26,0,0,400.0
113,0,0,0,0,9,81,0,0,150.0
114,0,0,0,0,12,54,0,0,300.0
115,0,0,0,0,2,82,0,0,200.0
116,0,0,0,0,13,33,0,0,150.0
117,0,0,0,0,9,83,0,0,150.0
118,0,0,0,0,2,84,0,0,250.0
119,0,0,30,0,17,85,0,0,1.0
120,1,0,201,0,2,86,11,0,300.0
121,0,0,7,0,2,84,0,0,200.0
122,0,0,6,0,2,87,0,0,100.0
123,0,0,17,0,2,34,0,0,200.0
124,0,0,25,0,9,43,0,0,200.0
125,0,0,0,0,7,88,0,0,400.0
126,0,0,0,0,2,89,0,0,350.0
127,0,0,8,0,7,33,0,0,100.0
128,0,0,0,0,2,90,0,0,150.0
129,0,0,0,0,2,33,0,0,150.0
130,0,0,0,0,13,91,0,0,200.0
131,0,0,0,0,2,5,0,0,100.0
132,0,0,0,0,2,47,0,0,400.0
133,0,0,0,0,15,92,0,0,200.0
134,0,0,0,0,18,93,0,0,150.0
136,0,0,0,0,2,68,0,0,150.0
137,0,0,0,0,2,94,0,0,250.0
138,0,0,0,0,2,29,0,0,250.0
139,0,0,0,0,2,77,0,0,150.0
140,0,0,0,0,19,70,0,0,200.0
141,0,0,0,0,20,95,0,0,350.0
142,0,0,0,0,2,77,0,0,300.0
143,0,0,0,0,13,36,0,0,100.0
144,0,0,0,0,2,96,0,0,150.0
146,0,0,98,0,17,38,0,0,800.0
147,1,0,47,1,2,33,13,0,200.0
148,1,1,175,3,0,97,14,0,500.0
149,1,0,58,0,2,98,15,0,300.0
151,1,0,124,4,2,100,0,0,400.0
152,1,0,340,0,13,101,0,0,500.0
154,0,0,0,0,2,63,0,0,100.0
155,1,0,438,3,9,102,0,0,500.0
156,1,0,264,2,0,103,0,0,750.0
157,1,0,169,4,15,104,0,0,150.0
158,1,0,67,4,2,38,0,0,250.0
159,1,0,97,3,2,0,0,0,350.0
160,1,0,12,1,13,29,0,0,300.0
161,1,0,12,0,2,29,16,0,300.0
162,1,0,195,3,0,105,0,0,800.0
163,1,0,13,1,21,106,0,0,300.0
164,1,0,228,3,4,107,0,0,400.0
165,1,0,70,1,2,68,17,0,150.0
166,1,1,364,3,0,108,0,0,1.2
167,1,0,107,1,15,109,0,0,150.0
168,1,0,167,4,2,110,18,0,300.0
169,1,0,115,0,16,67,0,0,400.0
170,1,0,27,0,13,111,0,0,400.0
171,1,0,57,0,2,29,0,0,200.0
172,1,0,120,0,2,112,0,0,250.0
173,1,0,15,1,12,54,0,0,400.0
174,1,0,64,1,2,113,0,0,500.0
175,1,0,66,0,2,33,0,0,150.0
176,1,0,290,0,2,114,0,0,450.0
177,1,0,233,1,2,115,0,0,200.0
178,1,0,115,4,2,116,0,0,250.0
179,1,0,119,0,0,117,0,0,700.0
180,1,1,291,3,4,118,19,0,650.0
181,1,0,155,3,15,119,0,0,300.0
182,1,0,305,4,0,120,0,0,700.0
183,1,0,46,0,2,121,0,0,500.0
184,1,0,45,4,2,122,0,0,350.0
185,1,0,38,0,9,71,0,0,150.0
186,1,0,441,0,2,123,0,0,400.0
187,1,0,25,1,2,33,20,0,100.0
189,1,0,25,4,2,33,21,0,150.0
190,1,0,160,4,2,125,0,0,300.0
191,1,0,287,0,2,5,0,0,350.0
192,1,0,11,1,2,33,22,0,100.0
194,1,0,469,1,0,126,0,0,750.0
196,1,0,57,0,2,86,23,0,200.0
197,1,0,14,0,2,33,0,0,300.0
198,1,0,264,0,2,33,0,0,200.0
201,1,0,242,3,0,128,0,0,650.0
202,1,0,27,1,9,63,0,0,250.0
203,1,0,163,1,2,129,0,0,500.0
204,1,0,191,1,2,34,24,0,250.0
205,1,0,32,0,2,130,0,0,150.0
206,1,0,247,0,0,5,0,0,500.0
208,1,0,337,3,2,132,0,0,300.0
209,1,0,135,0,0,133,0,0,800.0
210,1,0,172,7,0,38,0,0,700.0
211,1,0,105,0,0,134,0,0,700.0
213,1,0,36,4,2,75,0,0,200.0
214,1,0,39,4,2,5,0,0,300.0
215,1,0,5,4,0,114,0,0,500.0
216,1,0,0,1,2,38,0,0,300.0
218,1,0,56,4,2,38,0,0,350.0
220,1,0,412,3,0,137,0,0,700.0
221,1,1,142,3,0,138,0,0,1.0
222,1,0,23,3,2,94,0,0,400.0
223,1,0,143,3,0,139,0,0,750.0
224,1,1,80,3,0,140,0,0,500.0
225,1,0,16,8,0,33,0,0,400.0
226,1,0,181,3,15,141,0,0,250.0
227,1,0,70,3,2,82,0,0,200.0
228,1,0,164,1,2,142,0,0,600.0
229,1,0,58,4,2,143,0,0,650.0
231,0,0,206,1,2,144,0,0,450.0
232,0,0,0,1,12,26,0,0,300.0
233,0,0,0,8,9,71,0,0,200.0
234,0,0,16,2,2,33,0,0,300.0
235,0,0,217,1,0,145,0,0,450.0
236,0,0,46,1,2,146,0,0,450.0
237,0,0,148,1,2,75,0,0,150.0
238,0,0,30,1,9,70,0,0,250.0
240,0,0,4,3,2,33,0,0,250.0
241,0,0,15,1,22,54,0,0,400.0
242,0,0,0,1,2,33,0,0,100.0
243,0,0,0,7,2,38,0,0,300.0
244,0,0,0,3,2,147,0,0,200.0
245,1,0,9,7,2,115,0,0,200.0
246,0,0,0,6,2,148,0,0,350.0
247,1,0,31,2,2,3,25,0,300.0
248,1,0,177,3,0,149,0,0,700.0
249,1,0,22,1,16,150,0,0,250.0
250,1,0,10,4,15,151,26,0,100.0
251,1,0,136,0,2,152,0,0,600.0
252,1,0,35,4,2,38,0,0,250.0
253,1,0,185,3,2,153,0,0,200.0
254,1,0,17,3,4,18,0,0,900.0
255,1,0,155,2,0,86,0,0,400.0
256,1,0,42,0,2,72,27,0,300.0
258,1,0,160,0,0,38,0,0,700.0
259,1,0,59,0,0,38,0,0,750.0
260,1,0,90,3,0,154,0,0,500.0
261,1,0,51,4,2,144,0,0,350.0
262,1,0,89,3,2,96,0,0,200.0
263,1,0,18,0,2,155,0,0,250.0
264,1,0,40,1,0,156,0,0,600.0
265,1,0,35,1,2,63,0,0,200.0
266,1,0,89,3,2,157,0,0,250.0
267,1,0,11,1,2,158,0,0,150.0
269,1,0,33,3,9,70,0,0,300.0
270,1,0,32,3,16,106,0,0,250.0
271,1,0,139,3,0,159,0,0,550.0
272,1,0,154,6,2,63,0,0,300.0
273,1,0,14,0,12,26,0,0,350.0
274,1,0,237,0,2,160,28,0,200.0
275,1,0,388,0,0,161,0,0,650.0
276,1,0,0,3,2,68,29,0,300.0
277,1,0,128,4,0,162,30,0,500.0
280,1,0,7,4,2,164,31,0,250.0
281,1,0,38,7,0,3,32,0,400.0
282,1,0,179,0,7,27,0,0,600.0
283,1,0,43,1,9,136,0,0,250.0
284,1,0,275,1,2,33,33,0,100.0
285,1,0,323,3,0,31,0,0,850.0
286,1,0,28,7,0,72,34,0,400.0
287,1,0,18,1,2,165,0,0,200.0
288,1,0,6,1,2,34,0,0,100.0
289,1,0,0,1,9,79,0,0,100.0
290,1,0,322,3,0,33,0,0,400.0
291,1,0,157,3,4,166,0,0,450.0
294,1,0,444,1,2,33,36,0,100.0
295,1,0,134,3,2,167,37,0,400.0
297,1,0,60,0,2,86,38,0,200.0
298,1,0,144,3,0,157,0,0,550.0
300,1,0,16,1,2,33,39,0,200.0
301,1,0,84,0,2,72,40,0,250.0
302,1,0,95,0,2,169,41,0,150.0
303,1,1,349,0,0,170,0,0,1.2
304,1,0,248,4,2,171,0,0,400.0
305,1,0,216,1,4,172,0,0,500.0
306,1,0,0,4,0,29,0,0,400.0
308,1,0,231,4,2,173,42,0,400.0
309,1,0,102,7,0,97,43,0,400.0
311,1,0,45,0,0,174,0,0,800.0
312,1,0,149,4,2,175,0,0,300.0
313,1,0,75,0,2,176,0,0,200.0
314,1,0,53,5,7,177,0,0,600.0
317,1,0,56,3,9,178,0,0,400.0
318,1,0,82,0,2,86,44,0,300.0
319,1,0,35,3,2,63,0,0,200.0
320,1,0,20,1,2,179,45,0,150.0
321,1,0,14,4,2,180,0,0,250.0
322,1,0,70,0,9,181,0,0,400.0
323,1,0,91,3,4,182,0,0,300.0
324,1,0,45,3,2,29,0,0,200.0
325,1,0,7,0,2,38,0,0,250.0
326,1,0,28,0,2,63,0,0,150.0
327,1,0,24,0,0,38,0,0,600.0
328,1,0,36,1,9,183,0,0,200.0
329,1,0,11,3,2,63,0,0,200.0
330,1,0,77,4,4,184,0,0,650.0
331,1,0,8,0,16,67,0,0,100.0
332,1,0,14,3,2,33,46,0,100.0
333,1,0,210,4,0,30,0,0,600.0
334,1,0,130,3,4,185,0,0,650.0
335,1,0,30,3,15,141,0,0,100.0
337,1,0,11,1,17,186,0,0,800.0
338,1,0,133,3,0,187,0,0,700.0
339,1,0,136,3,2,160,47,0,350.0
340,1,0,4,1,2,72,0,0,200.0
341,1,0,11,1,23,188,0,0,200.0
342,1,0,74,1,2,72,0,0,300.0
343,1,0,30,1,2,189,0,0,300.0
344,1,0,7,1,2,190,0,0,200.0
345,1,0,75,0,6,21,48,0,200.0
346,1,0,54,1,4,107,0,0,600.0
347,1,0,23,1,24,191,0,0,100.0
348,1,0,119,0,0,38,0,0,400.0
349,1,0,73,0,2,47,0,0,400.0
350,1,0,58,1,4,18,0,0,400.0
351,1,0,129,0,0,192,0,0,600.0
352,1,0,24,0,2,193,0,0,250.0
353,1,0,175,4,2,85,0,0,400.0
354,1,0,21,2,2,33,0,0,300.0
355,1,0,41,9,25,194,0,0,400.0
356,1,0,35,3,2,195,0,0,300.0
357,1,0,176,1,0,196,0,0,800.0
358,1,0,45,0,15,197,0,0,300.0
359,1,0,47,3,26,198,0,0,400.0
360,1,1,36,3,0,199,0,0,650.0
361,1,0,52,4,18,158,49,0,400.0
362,1,0,123,0,2,63,0,0,200.0
363,1,0,59,4,0,5,0,0,700.0
364,1,0,4,4,2,77,0,0,300.0
365,1,0,101,0,2,47,0,0,400.0
366,1,0,54,0,27,200,0,0,400.0
367,1,0,0,0,2,33,0,0,200.0
368,1,0,22,1,2,63,0,0,200.0
369,1,0,31,0,28,201,0,0,250.0
370,1,0,29,4,4,182,0,0,500.0
371,1,0,6,3,15,79,0,0,100.0
372,1,0,22,1,2,72,50,0,250.0
373,1,0,11,0,2,5,0,0,500.0
374,1,0,101,1,2,33,0,0,150.0
375,1,1,442,3,29,202,0,0,1.2
376,1,0,155,1,2,47,0,0,400.0
377,1,0,12,0,18,93,0,0,150.0
378,1,0,15,1,2,33,0,0,100.0
379,1,0,10,1,2,33,0,0,200.0
380,1,0,25,0,2,33,0,0,300.0
381,1,0,61,0,2,38,0,0,300.0
382,1,0,23,7,2,203,0,0,300.0
383,1,0,25,1,2,204,0,0,350.0
384,1,0,40,4,2,205,51,0,200.0
385,1,0,4,1,2,206,0,0,100.0
386,1,0,8,1,2,75,0,0,150.0
387,1,0,32,4,2,38,0,0,300.0
388,1,0,10,1,2,33,52,0,200.0
389,1,0,6,1,2,155,0,0,300.0
390,1,0,53,3,2,207,0,0,250.0
391,1,0,67,4,0,5,0,0,700.0
392,1,0,23,3,16,81,53,0,250.0
393,1,0,19,0,2,3,0,0,200.0
394,1,0,24,0,2,208,0,0,300.0
395,1,0,232,3,2,68,0,0,400.0
396,1,0,221,3,0,53,0,0,700.0
398,1,0,93,1,2,115,0,0,200.0
399,1,0,233,3,0,210,0,0,800.0
400,1,0,211,3,0,211,0,0,500.0
402,1,0,218,6,0,159,0,0,800.0
405,1,0,96,4,2,5,0,0,400.0
406,1,0,80,0,2,215,0,0,250.0
407,1,0,73,1,12,216,55,0,300.0
408,1,0,84,3,16,67,0,0,400.0
409,1,0,88,0,2,123,0,0,350.0
410,1,0,179,0,0,126,0,0,600.0
411,1,0,61,1,2,217,0,0,100.0
412,1,0,128,7,0,218,0,0,450.0
413,1,0,339,3,2,72,56,0,400.0
414,1,0,449,1,2,115,0,0,100.0
415,1,0,210,3,31,79,0,0,150.0
416,1,0,57,1,2,219,0,0,200.0
417,1,0,213,0,2,220,0,0,400.0
418,1,0,208,3,18,221,57,0,250.0
419,1,0,70,0,2,33,58,0,100.0
421,1,0,59,0,2,82,0,0,200.0
422,1,0,10,0,2,49,0,0,500.0
423,1,0,9,4,2,222,0,0,400.0
424,1,0,124,4,0,223,0,0,750.0
425,1,0,19,4,2,33,59,0,100.0
426,1,0,0,3,13,5,0,0,300.0
427,1,0,4,1,2,224,0,0,150.0
428,1,0,4,4,9,136,0,0,150.0
429,1,0,21,1,9,43,0,0,200.0
430,1,0,8,0,32,225,60,0,250.0
431,1,0,10,4,2,159,0,0,400.0
432,1,0,0,0,2,0,0,0,400.0
433,1,0,10,4,2,5,61,0,400.0
