,TotalSteps,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Cluster,Labels
0,11004,0.0,2.5699999332,0.4600000083,4.0700001717,0.0,33,12,205,804,1,1819
1,17609,0.0,6.9200000763,0.7300000191,3.9100000858,0.0,89,17,274,588,1,2154
2,12736,0.0,4.6599998474,0.1599999964,3.7100000381,0.0,56,5,268,605,1,1944
3,13231,0.0,3.1900000572,0.7900000215,4.9499998093,0.0,39,20,224,1080,1,1932
4,12041,0.0,2.1600000858,1.0900000334,4.6100001335,0.0,28,28,243,763,1,1886
5,10970,0.0,2.3599998951,0.5099999905,4.2899999619,0.0,30,13,223,1174,1,1820
6,12256,0.0,2.2899999619,0.4900000095,5.0399999619,0.0,33,12,239,820,1,1889
7,12262,0.0,3.3199999332,0.8299999833,3.6400001049,0.0,47,21,200,866,1,1868
8,11248,0.0,3.0,0.4499999881,3.7400000095,0.0,40,11,244,636,1,1843
9,10016,0.0,0.9100000262,1.2799999714,4.1799998283,0.0,15,30,314,655,1,1850
10,14557,0.0,3.3900001049,0.6999999881,5.6900000572,0.0,43,18,285,757,1,2030
11,14844,0.0,2.9400000572,0.7599999905,6.0399999619,0.0,36,18,341,736,1,2083
12,11974,0.0,2.0399999619,0.4799999893,5.1500000954,0.0,27,12,228,1173,1,1861
13,10198,0.0,1.2000000477,0.7900000215,4.4499998093,0.0,17,20,195,1208,1,1755
14,12521,0.0,3.3099999428,0.8999999762,3.7400000095,0.0,46,22,212,1160,1,1895
15,12432,0.0,2.5899999142,0.5899999738,4.9200000763,0.0,32,15,248,738,1,1883
16,10057,0.0,4.0,0.4900000095,2.4800000191,0.0,44,13,168,737,1,1755
17,10990,0.0,2.0399999619,0.5699999928,4.6500000954,0.0,26,14,216,855,1,1811
29,18464,0.0,0.0,0.0,12.0,0.0,0,0,270,1170,1,1574
36,10000,0.0,0.0,0.0,6.5,0.0,0,0,172,1268,1,1469
39,20237,0.0,2.5699999332,6.4000000954,5.7300000191,0.0099999998,34,141,347,918,1,4029
40,12912,0.0,4.8299999237,0.7699999809,3.7899999619,0.0299999993,59,16,283,1082,1,3436
42,9921,0.0,0.3400000036,1.5199999809,5.3600001335,0.0,5,35,219,1181,1,3098
44,11166,0.0,0.2099999934,2.4100000858,5.5,0.0,3,58,230,1149,1,3202
46,13840,0.0,1.3099999428,3.7200000286,5.0300002098,0.0,18,81,192,1149,1,3290
72,13603,0.0,5.4600000381,0.6299999952,3.5099999905,0.0,72,16,213,1139,1,2645
74,11144,0.0,1.7899999619,0.8899999857,5.1399998665,0.0,25,22,279,1114,1,2395
75,15313,0.0,5.0199999809,1.2899999619,4.6900000572,0.0,62,19,233,1126,1,2581
76,10805,0.0,0.7200000286,0.9800000191,5.8899998665,0.0,36,37,298,1069,1,2735
77,15392,0.0,3.4300000668,1.75,5.75,0.0,47,42,258,1093,1,2733
78,18247,0.0,7.1100001335,2.2100000381,4.5100002289,0.0,72,62,252,1054,1,3021
79,13023,0.0,3.2300000191,0.5600000024,5.4699997902,0.0,40,12,296,1092,1,2577
80,16267,0.0,5.75,0.4699999988,6.3699998856,0.0,44,16,302,1078,1,2811
81,10005,0.0,0.0799999982,1.0499999523,5.9000000954,0.0,1,23,339,1077,1,2458
82,10106,0.0,1.2100000381,0.5600000024,5.3299999237,0.0,41,16,272,1111,1,2568
106,11230,0.0,0.8899999857,0.1199999973,6.6599998474,0.0,10,2,390,1038,1,2206
108,10272,0.0,0.1599999964,3.1199998856,3.5,0.0,2,58,208,700,1,2041
109,10533,0.0,1.7699999809,2.0599999428,3.2699999809,0.0,21,35,255,615,1,2187
112,15459,0.0,3.5899999142,0.8100000024,5.8200001717,0.0,51,16,327,583,1,2438
114,10254,0.0,1.4199999571,1.2300000191,4.1599998474,0.0,21,25,231,638,1,2099
115,10114,0.0,1.6399999857,0.4799999893,4.6799998283,0.0,18,9,269,696,1,2096
116,11107,0.0,0.8999999762,2.7599999905,3.6800000668,0.0,14,46,196,759,1,2058
117,10320,0.0,0.6800000072,1.2300000191,4.9400000572,0.0,15,32,315,1002,1,2338
118,10209,0.0,0.1599999964,0.349999994,6.2300000191,0.0,2,6,316,711,1,2104
119,16081,0.0,1.25,1.8200000525,7.5599999428,0.0,16,32,401,970,1,2488
120,10078,0.0,1.0199999809,0.1199999973,5.6900000572,0.0,12,3,303,463,1,2164
121,10001,0.0,0.3300000131,2.9300000668,3.3599998951,0.0,5,52,196,788,1,2009
126,9713,0.0,0.3400000036,0.8899999857,5.2899999619,0.0,6,24,355,1055,1,2046
131,14103,0.0,3.0199999809,0.4099999964,6.1399998665,0.0099999998,46,8,288,1098,1,2257
155,11508,0.0,2.1700000763,0.8399999738,4.6900000572,0.0,29,22,282,748,1,1630
156,11943,0.0,1.0299999714,2.0099999905,4.9499998093,0.0,16,43,297,710,1,1648
157,12303,0.0,1.7100000381,1.3500000238,5.1700000763,0.0,26,32,291,605,1,1649
158,15425,0.0,1.6200000048,1.8200000525,6.8699998856,0.0,24,45,331,614,1,1783
160,10226,0.0,0.0,4.4400000572,2.4000000954,0.0,0,101,174,685,1,1524
161,14583,0.0,2.4800000191,1.7400000095,5.5300002098,0.0,35,36,254,697,1,1697
169,12483,0.0,1.4500000477,0.5699999928,6.9000000954,0.0,25,14,309,599,1,3830
173,10330,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1,3728
192,10480,0.0,0.4099999964,1.4700000286,5.0100002289,0.0399999991,6,37,272,1125,1,4034
235,10067,0.0,0.3600000143,1.4199999571,4.9699997902,0.0,5,39,313,578,1,2308
237,10946,0.0,0.5400000215,2.0899999142,4.7199997902,0.0,8,51,308,569,1,2341
280,10328,0.0,0.0,1.4600000381,6.9200000763,0.0,0,32,367,475,1,3323
281,12116,0.0,0.25,2.8499999046,6.7199997902,0.0,3,57,323,471,1,3357
287,14002,0.0,0.6100000143,2.6800000668,8.0600004196,0.0,8,56,381,407,1,3597
288,11135,0.0,0.0799999982,1.1599999666,7.7899999619,0.0,1,25,331,528,1,3224
291,12409,0.0,2.9000000954,0.6299999952,4.5799999237,0.0,51,12,235,782,1,2142
295,11306,0.0,2.3099999428,0.9800000191,4.0900001526,0.0,40,26,218,772,1,2086
296,12252,0.0,2.4100000858,1.7000000477,3.8900001049,0.0,33,28,229,745,1,2044
297,15444,0.0,3.2699999809,1.7300000191,5.0799999237,0.0,51,39,243,731,1,2249
298,9938,0.0,2.1400001049,1.2799999714,3.0799999237,0.0,38,24,193,767,1,2019
301,11906,0.0,2.2599999905,1.5199999809,3.9900000095,0.0,32,27,234,688,1,2065
303,10461,0.0,4.7600002289,0.8500000238,2.25,0.0,99,31,142,721,1,3625
304,14873,0.0,8.1899995804,0.6000000238,2.3099999428,0.0,202,36,153,663,1,4430
305,9917,0.0,1.9900000095,0.9700000286,4.4400000572,0.0,58,27,240,700,1,3427
308,11080,0.0,3.1300001144,1.3700000048,3.8099999428,0.0,83,52,190,695,1,3765
311,10494,0.0,4.9099998474,0.7799999714,2.1500000954,0.0,123,62,138,601,1,3817
312,9776,0.0,2.9300000668,1.4299999475,3.0199999809,0.0,80,35,162,721,1,3378
315,19658,0.0,0.2399999946,2.0899999142,12.5100002289,0.0,3,30,475,466,1,2884
318,9910,0.0,0.0,0.0,7.4800000191,0.0,0,0,384,990,1,2445
319,12409,0.0,0.0,0.0,9.3699998856,0.0,0,0,491,388,1,2694
322,10789,0.0,0.0,0.0,8.1499996185,0.0,0,0,506,413,1,2617
338,9766,6.7270569801,0.0,0.0500000007,7.4600000381,0.0,0,6,301,1133,1,2442
348,11761,0.0,1.3099999428,2.4400000572,4.6799998283,0.0,24,99,300,550,1,3920
349,13987,0.0,2.8699998856,3.3399999142,3.8199999332,0.0,46,114,250,739,1,3856
352,15491,0.0,1.2899999619,4.4899997711,4.4600000381,0.0,18,77,272,641,1,2244
353,14097,0.0,3.5,1.9199999571,3.9000000954,0.0,50,32,234,595,1,2188
354,10467,0.0,0.6999999881,2.4300000668,3.8499999046,0.0,9,45,252,602,1,2014
355,12437,0.0,3.7599999905,1.2899999619,3.2400000095,0.0,50,24,219,732,1,2115
356,12307,0.0,1.0099999905,3.2599999905,3.8699998856,0.0,14,51,218,589,1,2055
357,18952,0.0,5.9099998474,1.2300000191,5.6599998474,0.0,73,20,327,570,1,2437
358,12010,0.0,2.3800001144,0.9499999881,4.6100001335,0.0,38,17,287,692,1,2158
359,12480,3.9727950096,4.1799998283,0.6899999976,4.0,0.0,55,14,276,593,1,2170
360,13417,1.9263019562,3.3900001049,1.25,4.9099998474,0.1000000015,45,16,284,665,1,2244
361,14400,5.4568638802,2.4700000286,2.8800001144,5.5300002098,0.0,27,37,276,697,1,2188
362,12495,0.0,2.2100000381,1.0900000334,4.9600000381,0.0,33,19,324,609,1,2231
363,10148,0.0,1.3600000143,0.2199999988,5.1300001144,0.0,19,7,306,679,1,2100
364,12362,2.6964550018,1.0900000334,2.7300000191,5.2699999809,0.0,21,38,297,678,1,2188
366,11680,4.9012827873,4.4899997711,0.3300000131,4.2399997711,0.0,50,7,244,1139,1,2573
367,10976,0.0,0.5500000119,0.6700000167,6.1300001144,0.0,9,16,271,1075,1,2575
368,16806,0.0,6.4099998474,1.3700000048,3.4700000286,0.0,104,31,230,1002,1,3086
369,15266,5.1898498535,5.8000001907,0.7599999905,4.7899999619,0.0500000007,70,21,292,1057,1,2886
370,12084,4.8363800049,4.3899998665,0.4600000083,4.2899999619,0.0,50,6,284,1030,1,2676
371,13513,4.8357200623,5.3499999046,0.3300000131,4.5599999428,0.0,64,8,270,1098,1,2811
372,14100,4.8759899139,5.0999999046,1.1900000572,4.2800002098,0.0,61,33,265,1015,1,2840
373,12627,4.8423199654,4.6999998093,0.7400000095,4.2100000381,0.0,54,22,301,1063,1,2871
374,10345,0.0,0.0700000003,0.2700000107,6.5799999237,0.0,2,6,358,1074,1,2613
375,10146,0.0,0.0700000003,0.6100000143,6.1100001335,0.0,1,12,397,1030,1,2700
376,12168,0.0,1.0499999523,0.7900000215,6.2899999619,0.0,18,27,375,1020,1,2871
378,11463,0.0,2.8299999237,1.8899999857,2.9300000668,0.0,38,30,154,777,1,2496
384,14604,0.0,7.2300000191,1.1200000048,2.4300000668,0.0299999993,76,30,127,695,1,2862
390,20188,0.0,12.0600004196,0.8500000238,2.7100000381,0.0,124,19,172,1125,1,3377
391,25701,0.0,16.8199996948,1.6299999952,1.6900000572,0.0,165,36,97,1142,1,3697
392,17395,0.0,9.6700000763,0.1800000072,3.3499999046,0.0,100,4,213,1123,1,3209
393,17167,0.0,9.9600000381,0.3100000024,3.1400001049,0.0,98,8,184,1150,1,3167
394,16435,0.0,8.9600000381,0.5500000119,2.9100000858,0.0,100,14,191,1135,1,3122
395,17078,0.0,9.970000267,0.2399999946,2.9900000095,0.0,101,6,190,1143,1,3176
396,11693,0.0,6.7699999809,0.2599999905,2.5,0.0,60,6,153,1221,1,2790
397,11159,0.0,6.6900000572,0.25,2.1900000572,0.0,59,6,120,1255,1,2715
398,10118,0.0,3.0499999523,0.8000000119,3.8800001144,0.0,30,18,207,1185,1,2684
399,16064,0.0,9.9799995422,0.3600000143,2.3800001144,0.0,96,8,155,1181,1,3097
408,12026,0.0,5.6999998093,0.9300000072,2.5099999905,0.0,47,13,150,1230,1,2162
413,14179,0.0,6.2300000191,1.0599999428,3.9600000381,0.0,73,21,195,719,1,3669
416,13935,2.0921471119,4.0900001526,0.7900000215,6.1700000763,0.0,105,16,220,658,1,4234
417,12846,2.2530810833,5.0,0.75,4.4400000572,0.0,113,15,189,686,1,4128
